assignmentId,date,shiftId,factoryId,equipmentId,workerId,roleSkillId,startAt,endAt
2026-08-03_F1_S1_W_F1_A_F1_EQ_A,2026-08-03,F1_S1,F1,F1_EQ_A,W_F1_A,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F1_S1_W_F1_A_F1_EQ_B,2026-08-03,F1_S1,F1,F1_EQ_B,W_F1_A,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F1_S2_W_F1_A_F1_EQ_A,2026-08-03,F1_S2,F1,F1_EQ_A,W_F1_A,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F1_S2_W_F1_A_F1_EQ_B,2026-08-03,F1_S2,F1,F1_EQ_B,W_F1_A,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F2_S1_W_F2_A_F2_EQ_A,2026-08-03,F2_S1,F2,F2_EQ_A,W_F2_A,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F2_S2_W_F2_A_F2_EQ_A,2026-08-03,F2_S2,F2,F2_EQ_A,W_F2_A,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F2_S1_W_F2_B_F2_EQ_B,2026-08-03,F2_S1,F2,F2_EQ_B,W_F2_B,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F2_S2_W_F2_B_F2_EQ_B,2026-08-03,F2_S2,F2,F2_EQ_B,W_F2_B,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F3_S1_W_F3_A_F3_EQ_A,2026-08-03,F3_S1,F3,F3_EQ_A,W_F3_A,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F3_S2_W_F3_A_F3_EQ_A,2026-08-03,F3_S2,F3,F3_EQ_A,W_F3_A,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F3_S1_W_F3_B_F3_EQ_B,2026-08-03,F3_S1,F3,F3_EQ_B,W_F3_B,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F3_S2_W_F3_B_F3_EQ_B,2026-08-03,F3_S2,F3,F3_EQ_B,W_F3_B,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F4_S1_W_F4_A_F4_EQ_A,2026-08-03,F4_S1,F4,F4_EQ_A,W_F4_A,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F4_S2_W_F4_A_F4_EQ_A,2026-08-03,F4_S2,F4,F4_EQ_A,W_F4_A,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
2026-08-03_F4_S1_W_SUPPORT_F4_EQ_B,2026-08-03,F4_S1,F4,F4_EQ_B,W_SUPPORT,OPERATOR,2026-08-03T06:00:00,2026-08-03T13:00:00
2026-08-03_F4_S2_W_SUPPORT_F4_EQ_B,2026-08-03,F4_S2,F4,F4_EQ_B,W_SUPPORT,OPERATOR,2026-08-03T13:00:00,2026-08-03T20:00:00
