workerId,date,shiftId,status,placementFactoryId,startAt,endAt,note
W_F1_A,2026-08-03,F1_S1,PRESENT,F1,2026-08-03T06:00:00,2026-08-03T13:00:00,
W_F1_A,2026-08-03,F1_S2,PRESENT,F1,2026-08-03T13:00:00,2026-08-03T20:00:00,
W_F2_A,2026-08-03,F2_S1,PRESENT,F2,2026-08-03T06:00:00,2026-08-03T13:00:00,
W_F2_A,2026-08-03,F2_S2,PRESENT,F2,2026-08-03T13:00:00,2026-08-03T20:00:00,
W_F2_B,2026-08-03,F2_S1,PRESENT,F2,2026-08-03T06:00:00,2026-08-03T13:00:00,
W_F2_B,2026-08-03,F2_S2,PRESENT,F2,2026-08-03T13:00:00,2026-08-03T20:00:00,
W_F3_A,2026-08-03,F3_S1,PRESENT,F3,2026-08-03T06:00:00,2026-08-03T13:00:00,
W_F3_A,2026-08-03,F3_S2,PRESENT,F3,2026-08-03T13:00:00,2026-08-03T20:00:00,
W_F3_B,2026-08-03,F3_S1,PRESENT,F3,2026-08-03T06:00:00,2026-08-03T13:00:00,
W_F3_B,2026-08-03,F3_S2,PRESENT,F3,2026-08-03T13:00:00,2026-08-03T20:00:00,
W_F4_A,2026-08-03,F4_S1,PRESENT,F4,2026-08-03T06:00:00,2026-08-03T13:00:00,
W_F4_A,2026-08-03,F4_S2,PRESENT,F4,2026-08-03T13:00:00,2026-08-03T20:00:00,
