Shogi Reflection Ver.1.3 Syntax Check
Date: 2026-08-02
Files: 126

PASS | AddCurrentPositionToKeyPosition.js
PASS | AddCurrentPositionToKeyPosition.test.js
PASS | ApplicationErrors.js
PASS | ApplyShogiMove.js
PASS | ApplyShogiMove.test.js
PASS | BoardSnapshot.js
PASS | BrowserClipboardAdapter.js
PASS | BrowserClipboardAdapter.test.js
PASS | BrowserFileAdapter.js
PASS | BrowserFileAdapter.test.js
PASS | BrowserGameReviewFormView.js
PASS | BrowserGameReviewLibraryView.js
PASS | BrowserGameReviewLibraryView.test.js
PASS | BrowserKeyPositionReplayMarkup.test.js
PASS | BrowserKifImportMarkup.test.js
PASS | BrowserKifImportView.js
PASS | BrowserMarkdownExportView.js
PASS | BrowserMarkdownExportView.test.js
PASS | BrowserMarkup.test.js
PASS | BrowserReplayMarkup.test.js
PASS | BrowserShogiReplayView.js
PASS | Clock.js
PASS | DeleteGameReview.js
PASS | DeleteGameReviewAndPersist.js
PASS | DeleteGameReviewAndPersist.test.js
PASS | ExportGameReviewAsMarkdown.js
PASS | ExportObservationCardAsMarkdown.js
PASS | GameReview.js
PASS | GameReview.test.js
PASS | GameReviewApplicationServices.test.js
PASS | GameReviewEditMapper.js
PASS | GameReviewEditMapper.test.js
PASS | GameReviewFormMapper.js
PASS | GameReviewFormMapper.test.js
PASS | GameReviewLibraryPresenter.js
PASS | GameReviewLibraryPresenter.test.js
PASS | GameReviewMarkdownFormatter.js
PASS | GameReviewMarkdownFormatter.test.js
PASS | GameReviewMarkdownNaming.js
PASS | GameReviewReplayCompatibility.test.js
PASS | GameReviewRepository.js
PASS | GameReviewSnapshotMapper.js
PASS | GameReviewSnapshotService.js
PASS | GameReviewSnapshotService.test.js
PASS | GetGameReview.js
PASS | HandSnapshot.js
PASS | Immutable.js
PASS | InMemoryGameReviewRepository.js
PASS | InMemoryGameReviewRepository.test.js
PASS | InitialShogiPositionFactory.js
PASS | KeyPosition.js
PASS | KeyPositionReplayController.js
PASS | KeyPositionReplayErrors.js
PASS | KeyPositionReplayIntegration.test.js
PASS | KeyPositionReplayReference.js
PASS | KeyPositionReplayReference.test.js
PASS | KeyPositionReplayViewModel.js
PASS | KeyPositionReplayViewModel.test.js
PASS | KifFileReaderAdapter.js
PASS | KifFileReaderAdapter.test.js
PASS | KifImportApplicationService.js
PASS | KifImportApplicationService.test.js
PASS | KifImportController.js
PASS | KifImportController.test.js
PASS | KifImportDto.js
PASS | KifImportErrorPresenter.js
PASS | KifImportErrors.js
PASS | KifImportFormMapper.js
PASS | KifImportFormMapper.test.js
PASS | KifImportIntegration.test.js
PASS | KifImportPreviewPresenter.js
PASS | KifMoveNormalizer.js
PASS | KifMoveNormalizer.test.js
PASS | KifParser.js
PASS | KifParser.test.js
PASS | KifTestHelpers.js
PASS | ListGameReviews.js
PASS | LocalStoragePersistence.test.js
PASS | LocalStorageSnapshotStore.js
PASS | MarkdownExportApplicationServices.test.js
PASS | MarkdownExportController.js
PASS | MarkdownExportController.test.js
PASS | MarkdownExportErrors.js
PASS | MarkdownFormatHelpers.js
PASS | ObservationCardMarkdownFormatter.js
PASS | ObservationCardMarkdownFormatter.test.js
PASS | PersistenceErrors.js
PASS | Phase1Compatibility.test.js
PASS | PiyoShogiCompatibility.js
PASS | PositionHistory.js
PASS | PositionHistory.test.js
PASS | PositionHistoryBuilder.js
PASS | ReflectionBackupController.js
PASS | ReflectionErrors.js
PASS | ReflectionPersistenceCoordinator.js
PASS | ReplayIntegration.test.js
PASS | ReplayPositionSnapshot.js
PASS | ReplayPositionSnapshot.test.js
PASS | ReplayPositionSnapshotFactory.js
PASS | ReplayPositionSnapshotSerializer.js
PASS | ReplaySnapshotFingerprint.js
PASS | ReplayTestHelpers.js
PASS | ReplayWarningReference.js
PASS | RepositoryErrors.js
PASS | ReviewIdGenerator.js
PASS | ReviewIdGenerator.test.js
PASS | SaveGameReview.js
PASS | ShogiBoard.js
PASS | ShogiHand.js
PASS | ShogiPiece.js
PASS | ShogiPosition.js
PASS | ShogiPosition.test.js
PASS | ShogiPositionSnapshot.js
PASS | ShogiReplayApplicationService.js
PASS | ShogiReplayApplicationService.test.js
PASS | ShogiReplayController.js
PASS | ShogiReplayController.test.js
PASS | ShogiReplayErrors.js
PASS | ShogiReplayViewModel.js
PASS | ShogiReplayViewModel.test.js
PASS | ShogiSquare.js
PASS | SubmitGameReviewForm.js
PASS | SubmitGameReviewForm.test.js
PASS | TestFixtures.js
PASS | main.js
PASS | verify.mjs
