Shogi Reflection Ver.1.8 Syntax Check
Date: 2026-08-10
Files: 211

PASS | AddCurrentPositionToKeyPosition.js
PASS | AddCurrentPositionToKeyPosition.test.js
PASS | AnalyzeGame.js
PASS | AnalyzeGameEvaluationTimelineV182.test.js
PASS | AnalyzeGameV16.test.js
PASS | ApplicationErrors.js
PASS | ApplyShogiMove.js
PASS | ApplyShogiMove.test.js
PASS | BadMoveDetectionV182.test.js
PASS | BoardGraphicsV14.test.js
PASS | BoardSnapshot.js
PASS | BrowserApplicationView.js
PASS | BrowserClipboardAdapter.js
PASS | BrowserClipboardAdapter.test.js
PASS | BrowserEngineAnalysisView.js
PASS | BrowserEngineProvider.js
PASS | BrowserFileAdapter.js
PASS | BrowserFileAdapter.test.js
PASS | BrowserFinalReportView.js
PASS | BrowserGameReviewFormView.js
PASS | BrowserGameReviewLibraryView.js
PASS | BrowserGameReviewLibraryView.test.js
PASS | BrowserKeyPositionReplayMarkup.test.js
PASS | BrowserKifClipboardAdapter.js
PASS | BrowserKifClipboardAdapter.test.js
PASS | BrowserKifImportMarkup.test.js
PASS | BrowserKifImportView.js
PASS | BrowserMarkdownExportView.js
PASS | BrowserMarkdownExportView.test.js
PASS | BrowserMarkup.test.js
PASS | BrowserReplayMarkup.test.js
PASS | BrowserReplayScrollMarkup.test.js
PASS | BrowserShogiReplayView.js
PASS | BrowserStepNavigation.js
PASS | BrowserWorkerUsiTransport.js
PASS | CandidateKeyPositionV17.test.js
PASS | CandidateReplayV17.test.js
PASS | Clock.js
PASS | DeleteGameReview.js
PASS | DeleteGameReviewAndPersist.js
PASS | DeleteGameReviewAndPersist.test.js
PASS | EngineAnalysisConstants.js
PASS | EngineAnalysisPersistenceCoordinator.js
PASS | EngineAnalysisRepository.js
PASS | EngineAnalysisSettings.js
PASS | EngineAnalysisSnapshotService.js
PASS | EngineBrowserMarkupV16.test.js
PASS | EngineCandidateSelector.js
PASS | EngineCandidateSelector.test.js
PASS | EngineErrors.js
PASS | EngineEvaluationGraphModel.js
PASS | EngineEvaluationGraphV182.test.js
PASS | EngineEvaluationGraphView.js
PASS | EngineFailureV16.test.js
PASS | EnginePersistenceV16.test.js
PASS | EngineUiFlowV17.test.js
PASS | EngineUiLayoutV18.test.js
PASS | EngineWorkerV18.test.js
PASS | EvaluationDelta.js
PASS | EvaluationNormalizationV16.test.js
PASS | EvaluationNormalizer.js
PASS | ExportGameReviewAsMarkdown.js
PASS | ExportObservationCardAsMarkdown.js
PASS | FallbackShogiEngineAdapter.js
PASS | FixedBoardGridV141.test.js
PASS | GameReview.js
PASS | GameReview.test.js
PASS | GameReviewApplicationServices.test.js
PASS | GameReviewEditMapper.js
PASS | GameReviewEditMapper.test.js
PASS | GameReviewFormMapper.js
PASS | GameReviewFormMapper.test.js
PASS | GameReviewLibraryPresenter.js
PASS | GameReviewLibraryPresenter.test.js
PASS | GameReviewMarkdownFormatter.js
PASS | GameReviewMarkdownFormatter.test.js
PASS | GameReviewMarkdownNaming.js
PASS | GameReviewReplayCompatibility.test.js
PASS | GameReviewRepository.js
PASS | GameReviewSnapshotMapper.js
PASS | GameReviewSnapshotService.js
PASS | GameReviewSnapshotService.test.js
PASS | GameSaveWithoutReflectionV14.test.js
PASS | GetGameReview.js
PASS | HandSnapshot.js
PASS | HelpAndLifecycleCompatibilityV14.test.js
PASS | Immutable.js
PASS | InMemoryGameReviewRepository.js
PASS | InMemoryGameReviewRepository.test.js
PASS | InitialShogiPositionFactory.js
PASS | JapaneseUiText.test.js
PASS | KeyPosition.js
PASS | KeyPositionReplayController.js
PASS | KeyPositionReplayErrors.js
PASS | KeyPositionReplayIntegration.test.js
PASS | KeyPositionReplayReference.js
PASS | KeyPositionReplayReference.test.js
PASS | KeyPositionReplayViewModel.js
PASS | KeyPositionReplayViewModel.test.js
PASS | KifFileReaderAdapter.js
PASS | KifFileReaderAdapter.test.js
PASS | KifImportApplicationService.js
PASS | KifImportApplicationService.test.js
PASS | KifImportController.js
PASS | KifImportController.test.js
PASS | KifImportDraftResetController.js
PASS | KifImportDraftResetController.test.js
PASS | KifImportDto.js
PASS | KifImportErrorPresenter.js
PASS | KifImportErrors.js
PASS | KifImportFormMapper.js
PASS | KifImportFormMapper.test.js
PASS | KifImportIntegration.test.js
PASS | KifImportPreviewPresenter.js
PASS | KifMoveNormalizer.js
PASS | KifMoveNormalizer.test.js
PASS | KifParser.js
PASS | KifParser.test.js
PASS | KifPastedTextAdapter.js
PASS | KifPastedTextAdapter.test.js
PASS | KifTestHelpers.js
PASS | ListGameReviews.js
PASS | LocalStorageEngineAnalysisStore.js
PASS | LocalStoragePersistence.test.js
PASS | LocalStorageSnapshotStore.js
PASS | MarkdownExportApplicationServices.test.js
PASS | MarkdownExportController.js
PASS | MarkdownExportController.test.js
PASS | MarkdownExportErrors.js
PASS | MarkdownFormatHelpers.js
PASS | MockShogiEngineAdapter.js
PASS | NodeChildProcessUsiTransport.js
PASS | NodeWebWorkerTestShim.js
PASS | ObservationCardMarkdownFormatter.js
PASS | ObservationCardMarkdownFormatter.test.js
PASS | PersistenceErrors.js
PASS | Phase1Compatibility.test.js
PASS | PieceGraphicsV17.test.js
PASS | PieceLayoutV141.test.js
PASS | PiyoShogiCompatibility.js
PASS | PositionHistory.js
PASS | PositionHistory.test.js
PASS | PositionHistoryBuilder.js
PASS | RealAnalysisFlowV18.test.js
PASS | RealEngineAdapterV18.test.js
PASS | RealEngineE2EV18.test.js
PASS | RealEngineEvaluationSanityV18.test.js
PASS | ReflectionBackupController.js
PASS | ReflectionCompletionValidationV14.test.js
PASS | ReflectionErrors.js
PASS | ReflectionLocalEngineAdapter.js
PASS | ReflectionLocalEngineWorker.js
PASS | ReflectionPersistenceCoordinator.js
PASS | ReflectionWorkflowStatus.js
PASS | ReplayIntegration.test.js
PASS | ReplayPositionSnapshot.js
PASS | ReplayPositionSnapshot.test.js
PASS | ReplayPositionSnapshotFactory.js
PASS | ReplayPositionSnapshotSerializer.js
PASS | ReplayScrollPolicy.js
PASS | ReplayScrollPolicy.test.js
PASS | ReplaySnapshotFingerprint.js
PASS | ReplayTestHelpers.js
PASS | ReplayWarningReference.js
PASS | RepositoryErrors.js
PASS | ReviewIdGenerator.js
PASS | ReviewIdGenerator.test.js
PASS | SaveGameReview.js
PASS | SavedGameSummaryV141.test.js
PASS | SavedGameViewerV14.test.js
PASS | ShogiBoard.js
PASS | ShogiEnginePort.js
PASS | ShogiEnginePort.test.js
PASS | ShogiHand.js
PASS | ShogiPiece.js
PASS | ShogiPieceSvg.js
PASS | ShogiPosition.js
PASS | ShogiPosition.test.js
PASS | ShogiPositionSnapshot.js
PASS | ShogiReplayApplicationService.js
PASS | ShogiReplayApplicationService.test.js
PASS | ShogiReplayController.js
PASS | ShogiReplayController.test.js
PASS | ShogiReplayErrors.js
PASS | ShogiReplayViewModel.js
PASS | ShogiReplayViewModel.test.js
PASS | ShogiSquare.js
PASS | StepNavigationV14.test.js
PASS | SubmitGameReviewForm.js
PASS | SubmitGameReviewForm.test.js
PASS | TestFixtures.js
PASS | UsiEngineAdapter.js
PASS | UsiEngineAdapter.test.js
PASS | UsiInfoParser.js
PASS | UsiMappingV16.test.js
PASS | UsiPositionMapper.js
PASS | UsiProtocolV18.test.js
PASS | Ver18FormalRequirements.test.js
PASS | WorkflowErrors.js
PASS | YaneuraOuBuildBridgeV183.test.js
PASS | YaneuraOuEngineAdapter.js
PASS | YaneuraOuWasmAdapter.js
PASS | YaneuraOuWasmBootstrapV182.test.js
PASS | YaneuraOuWasmWorkerBootstrap.js
PASS | main.js
PASS | scripts/finalize-yaneuraou-manifest.mjs
PASS | scripts/formal-completion-gate.mjs
PASS | scripts/real-yaneuraou-artifact-gate.mjs
PASS | scripts/update-engine-build-metadata.mjs
PASS | scripts/update-engine-license-gate.mjs
PASS | verify.mjs
